,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.9028776978417268,0.1424113475177305,0.2460181328105856,3525.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.1300121506682867,0.8663967611336032,0.2260961436872688,494.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0093457943925233,0.0465116279069767,0.0155642023346303,43.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.2294436238306253,0.2294436238306253,0.2294436238306253,0.2294436238306253
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3474118809675122,0.3517732455194368,0.1625594929441616,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.7994268233582222,0.2294436238306253,0.2411557542686396,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.8740117317010967,0.9721985815602836,0.9204942250872952,3525.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.2325581395348837,0.0404858299595141,0.0689655172413793,494.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0363636363636363,0.0465116279069767,0.0408163265306122,43.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.8490891186607582,0.8490891186607582,0.8490891186607582,0.8490891186607582
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3809778358665389,0.3530653464755915,0.3434253562864289,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.787134099345208,0.8490891186607582,0.8076233901995996,4062.0
Slight,leeds_KNN,leeds,KNN,0.8894783377541998,0.8561702127659574,0.8725065047701648,3525.0
Serious,leeds_KNN,leeds,KNN,0.2199367088607595,0.2813765182186235,0.2468916518650088,494.0
Fatal,leeds_KNN,leeds,KNN,0.054054054054054,0.0465116279069767,0.05,43.0
accuracy,leeds_KNN,leeds,KNN,0.7776957163958641,0.7776957163958641,0.7776957163958641,0.7776957163958641
macro avg,leeds_KNN,leeds,KNN,0.3878230335563377,0.3946861196305192,0.3897993855450579,4062.0
weighted avg,leeds_KNN,leeds,KNN,0.7992083207988906,0.7776957163958641,0.7877153878227833,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.976436986790432,0.5140011276075925,0.6734794385619306,10642.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0198797965788257,0.3583333333333333,0.0376697328077091,240.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0020661157024793,0.1428571428571428,0.0040733197556008,14.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.5100954478707783,0.5100954478707783,0.5100954478707783,0.5100954478707783
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.332794299690579,0.3383972012660228,0.2384074970417468,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9541155002039766,0.5100954478707783,0.6586147161826811,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9848816391485976,0.4652320992294681,0.6319484332120747,10642.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0315374507227332,0.5,0.0593325092707045,240.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.001453488372093,0.2142857142857142,0.0028873917228103,14.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.4656754772393539,0.4656754772393539,0.4656754772393539,0.4656754772393539
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3392908594144745,0.3931726045050607,0.2313894447351965,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9626192860526837,0.4656754772393539,0.6185274827415553,10896.0
Slight,madrid_KNN,madrid,KNN,0.9829059829059827,0.6915993234354445,0.8119139547710977,10642.0
Serious,madrid_KNN,madrid,KNN,0.0353297442799461,0.4375,0.0653798256537982,240.0
Fatal,madrid_KNN,madrid,KNN,0.0045871559633027,0.1428571428571428,0.0088888888888888,14.0
accuracy,madrid_KNN,madrid,KNN,0.6852973568281938,0.6852973568281938,0.6852973568281938,0.6852973568281938
macro avg,madrid_KNN,madrid,KNN,0.340940961049744,0.4239854887641958,0.2953942231045949,10896.0
weighted avg,madrid_KNN,madrid,KNN,0.9607772420058868,0.6852973568281938,0.7944386847719692,10896.0
